Postcode,R1,R2,R3
200,2,,
800,2,,
801,1,,
803,1,,
804,1,,
810,16,,
811,1,,
812,11,,
813,2,,
814,1,,
815,1,,
820,20,,
821,1,,
822,111,,
828,2,,
829,2,,
830,11,,
831,1,,
832,8,,
834,1,,
835,3,,
836,3,,
837,2,,
838,1,,
839,1,,
840,3,,
841,1,,
845,1,,
846,1,,
847,1,,
850,6,,
851,1,,
852,57,,
853,2,,
854,2,,
860,1,,
861,2,,
862,17,,
870,11,,
871,1,,
872,109,,
873,7,,
874,3,,
875,2,,
880,5,,
881,1,,
885,1,,
886,1,,
906,1,,
907,1,,
909,2,,
1001,1,,
1002,1,,
1003,1,,
1004,1,,
1005,1,,
1006,1,,
1007,1,,
1008,1,,
1009,1,,
1010,1,,
1020,1,,
1021,1,,
1022,1,,
1023,1,,
1025,1,,
1026,1,,
1027,1,,
1028,1,,
1029,1,,
1030,1,,
1031,1,,
1032,1,,
1033,1,,
1034,1,,
1035,1,,
1036,1,,
1037,1,,
1038,1,,
1039,1,,
1040,1,,
1041,1,,
1042,1,,
1043,1,,
1044,1,,
1045,1,,
1046,1,,
1100,1,,
1101,1,,
1105,1,,
1106,1,,
1107,1,,
1108,1,,
1109,1,,
1110,1,,
1112,1,,
1113,1,,
1114,1,,
1115,1,,
1116,1,,
1117,1,,
1118,1,,
1119,1,,
1120,1,,
1121,1,,
1122,1,,
1123,1,,
1124,1,,
1125,1,,
1126,1,,
1127,1,,
1128,1,,
1129,1,,
1130,1,,
1131,1,,
1132,1,,
1133,1,,
1134,1,,
1135,1,,
1136,1,,
1137,1,,
1138,1,,
1139,1,,
1140,1,,
1141,1,,
1142,1,,
1143,1,,
1144,1,,
1145,1,,
1146,1,,
1147,1,,
1148,1,,
1149,1,,
1150,1,,
1151,1,,
1152,1,,
1153,1,,
1154,1,,
1155,1,,
1156,1,,
1157,1,,
1158,1,,
1159,1,,
1160,1,,
1161,1,,
1162,1,,
1163,1,,
1164,1,,
1165,1,,
1166,1,,
1167,1,,
1168,1,,
1169,1,,
1170,1,,
1171,1,,
1172,1,,
1173,1,,
1174,1,,
1175,1,,
1176,1,,
1177,1,,
1178,1,,
1179,1,,
1180,1,,
1181,1,,
1182,1,,
1183,1,,
1184,1,,
1185,1,,
1186,1,,
1187,1,,
1188,1,,
1189,1,,
1190,1,,
1191,1,,
1192,1,,
1193,1,,
1194,1,,
1195,1,,
1196,1,,
1197,1,,
1198,1,,
1199,1,,
1201,1,,
1202,1,,
1203,1,,
1205,1,,
1207,1,,
1208,1,,
1209,1,,
1210,1,,
1211,1,,
1212,1,,
