Postcode,Year,ftft,ftpt,ftaw,ftun,ftnotlf,ftunstated,ptpt,ptaw,ptun,ptnotlf,ptunstated,awaw,awun,awnotlf,awunstated,unun,unnotlf,ununstated,notlfnotlf,notlfunstated,unstatedunstated,ft,pt,aw,un,notlf,unstated
"2000, NSW",2011,120,89,15,19,170,26,17,4,0,30,14,7,0,13,3,7,5,3,38,8,0,81,28,12,20,89,3
"2006, NSW",2011,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2007, NSW",2011,44,28,6,8,54,3,3,0,6,12,0,4,0,4,0,0,3,0,19,5,0,27,15,3,0,28,0
"2008, NSW",2011,42,41,16,9,30,3,5,0,0,6,3,0,0,0,0,0,3,0,8,0,0,25,13,0,7,13,0
"2009, NSW",2011,129,123,34,9,158,16,20,5,9,19,5,3,0,8,3,0,11,0,17,9,0,51,46,5,7,86,0
"2010, NSW",2011,149,160,44,18,152,18,21,17,7,31,4,6,0,12,0,3,4,0,13,3,0,68,29,8,10,57,6
"2011, NSW",2011,72,97,27,10,92,9,11,3,6,18,0,3,0,3,0,3,0,3,20,8,0,45,37,4,8,74,0
"2015, NSW",2011,129,163,35,8,95,15,16,7,3,16,3,4,3,3,0,0,3,0,17,9,0,53,40,3,5,40,0
"2016, NSW",2011,115,101,24,20,81,12,23,0,6,16,4,8,0,6,0,0,0,0,13,11,0,54,32,6,10,57,0
"2017, NSW",2011,109,95,35,8,87,10,15,7,3,28,6,15,0,4,3,3,12,0,58,8,3,82,66,5,18,147,7
"2018, NSW",2011,346,353,52,43,306,29,48,21,16,83,13,15,3,18,3,4,13,0,76,12,9,119,95,7,18,116,5
"2019, NSW",2011,280,332,47,14,159,22,37,16,4,20,7,18,0,9,4,0,4,0,10,11,3,105,52,10,10,51,10
"2020, NSW",2011,254,259,48,32,186,26,25,8,5,22,12,21,0,14,3,3,8,0,28,8,4,97,59,10,7,57,4
"2021, NSW",2011,213,278,59,17,209,38,27,10,0,27,13,12,0,16,7,0,8,0,18,16,0,98,67,7,9,43,0
"2022, NSW",2011,212,263,44,17,191,22,34,11,6,18,18,8,3,12,0,0,6,0,15,13,0,86,53,8,10,58,4
"2023, NSW",2011,183,314,36,13,273,20,38,12,7,32,10,3,3,12,6,0,7,0,25,16,0,71,47,3,3,52,0
"2024, NSW",2011,225,348,56,16,219,24,40,17,5,22,18,14,0,6,3,0,6,0,9,17,3,79,69,12,7,40,3
"2025, NSW",2011,134,164,23,15,142,19,14,6,6,15,11,3,0,12,4,0,0,3,10,10,0,71,28,4,6,20,0
